"T","X","Y","Z"
"2020-08-19 19:37:39.431","0.458949","9.637929","0.611932"
"2020-08-19 19:37:39.433","0.458949","9.637929","0.458949"
"2020-08-19 19:37:39.435","0.458949","9.484945","0.611932"
"2020-08-19 19:37:39.437","0.458949","9.637929","0.611932"
"2020-08-19 19:37:39.439","0.611932","9.637929","0.458949"
"2020-08-19 19:37:39.441","0.458949","9.637929","0.458949"
"2020-08-19 19:37:39.443","0.458949","9.484945","0.611932"
"2020-08-19 19:37:39.445","0.611932","9.637929","0.458949"
"2020-08-19 19:37:39.447","0.458949","9.637929","0.611932"
"2020-08-19 19:37:39.449","0.458949","9.484945","0.458949"
"2020-08-19 19:37:39.451","0.611932","9.637929","0.611932"
"2020-08-19 19:37:39.453","0.458949","9.637929","0.458949"
"2020-08-19 19:37:39.455","0.458949","9.637929","0.458949"
"2020-08-19 19:37:39.457","0.458949","9.484945","0.764915"
"2020-08-19 19:37:39.459","0.458949","9.637929","0.764915"
"2020-08-19 19:37:39.461","0.305966","9.637929","0.458949"
"2020-08-19 19:37:39.463","0.611932","9.637929","0.458949"
"2020-08-19 19:37:39.465","0.458949","9.484945","0.611932"
"2020-08-19 19:37:39.467","0.611932","9.637929","0.611932"
"2020-08-19 19:37:39.469","0.611932","9.637929","0.611932"
"2020-08-19 19:37:39.471","0.305966","9.637929","0.458949"
"2020-08-19 19:37:39.473","0.458949","9.637929","0.458949"
"2020-08-19 19:37:39.475","0.458949","9.637929","0.458949"
"2020-08-19 19:37:39.477","0.611932","9.637929","0.458949"
"2020-08-19 19:37:39.479","0.305966","9.637929","0.611932"
"2020-08-19 19:37:39.481","0.305966","9.637929","0.458949"
"2020-08-19 19:37:39.483","0.458949","9.637929","0.611932"
"2020-08-19 19:37:39.485","0.458949","9.637929","0.611932"
"2020-08-19 19:37:39.487","0.458949","9.637929","0.611932"
"2020-08-19 19:37:39.489","0.458949","9.637929","0.458949"
"2020-08-19 19:37:39.491","0.305966","9.484945","0.458949"
"2020-08-19 19:37:39.493","0.458949","9.637929","0.764915"
"2020-08-19 19:37:39.495","0.458949","9.637929","0.611932"
"2020-08-19 19:37:39.497","0.305966","9.484945","0.458949"
"2020-08-19 19:37:39.499","0.611932","9.637929","0.458949"
"2020-08-19 19:37:39.501","0.458949","9.637929","0.611932"
"2020-08-19 19:37:39.503","0.458949","9.637929","0.611932"
