"T","X","Y","Z"
"2020-08-19 19:36:34.251","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.253","0.305966","9.637929","0.611932"
"2020-08-19 19:36:34.255","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.257","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.259","0.611932","9.637929","0.611932"
"2020-08-19 19:36:34.261","0.458949","9.637929","0.458949"
"2020-08-19 19:36:34.263","0.305966","9.484945","0.611932"
"2020-08-19 19:36:34.265","0.305966","9.637929","0.611932"
"2020-08-19 19:36:34.267","0.458949","9.484945","0.611932"
"2020-08-19 19:36:34.269","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.271","0.458949","9.637929","0.458949"
"2020-08-19 19:36:34.273","0.458949","9.637929","0.458949"
"2020-08-19 19:36:34.275","0.458949","9.484945","0.611932"
"2020-08-19 19:36:34.277","0.611932","9.637929","0.611932"
"2020-08-19 19:36:34.279","0.458949","9.484945","0.305966"
"2020-08-19 19:36:34.281","0.458949","9.637929","0.458949"
"2020-08-19 19:36:34.283","0.458949","9.484945","0.458949"
"2020-08-19 19:36:34.285","0.458949","9.484945","0.611932"
"2020-08-19 19:36:34.287","0.458949","9.484945","0.458949"
"2020-08-19 19:36:34.289","0.611932","9.637929","0.611932"
"2020-08-19 19:36:34.291","0.458949","9.484945","0.611932"
"2020-08-19 19:36:34.293","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.295","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.297","0.458949","9.637929","0.458949"
"2020-08-19 19:36:34.299","0.458949","9.484945","0.611932"
"2020-08-19 19:36:34.301","0.611932","9.637929","0.458949"
"2020-08-19 19:36:34.303","0.458949","9.484945","0.458949"
"2020-08-19 19:36:34.305","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.307","0.611932","9.637929","0.305966"
"2020-08-19 19:36:34.309","0.611932","9.637929","0.611932"
"2020-08-19 19:36:34.311","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.313","0.458949","9.484945","0.611932"
"2020-08-19 19:36:34.315","0.305966","9.637929","0.611932"
"2020-08-19 19:36:34.317","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.319","0.458949","9.637929","0.458949"
"2020-08-19 19:36:34.321","0.458949","9.637929","0.305966"
"2020-08-19 19:36:34.323","0.458949","9.484945","0.458949"
"2020-08-19 19:36:34.325","0.458949","9.484945","0.458949"
"2020-08-19 19:36:34.327","0.458949","9.790912","0.458949"
"2020-08-19 19:36:34.329","0.458949","9.484945","0.611932"
"2020-08-19 19:36:34.331","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.333","0.611932","9.637929","0.611932"
"2020-08-19 19:36:34.335","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.337","0.458949","9.484945","0.611932"
"2020-08-19 19:36:34.339","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.341","0.458949","9.637929","0.458949"
"2020-08-19 19:36:34.343","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.345","0.458949","9.637929","0.458949"
"2020-08-19 19:36:34.347","0.305966","9.484945","0.611932"
"2020-08-19 19:36:34.349","0.458949","9.484945","0.458949"
"2020-08-19 19:36:34.351","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.353","0.611932","9.790912","0.305966"
"2020-08-19 19:36:34.355","0.458949","9.484945","0.458949"
"2020-08-19 19:36:34.357","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.359","0.458949","9.637929","0.458949"
"2020-08-19 19:36:34.361","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.363","0.305966","9.637929","0.764915"
"2020-08-19 19:36:34.365","0.458949","9.484945","0.764915"
"2020-08-19 19:36:34.367","0.458949","9.637929","0.764915"
"2020-08-19 19:36:34.369","0.458949","9.637929","0.458949"
"2020-08-19 19:36:34.371","0.611932","9.637929","0.611932"
"2020-08-19 19:36:34.373","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.375","0.458949","9.484945","0.611932"
"2020-08-19 19:36:34.377","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.379","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.381","0.458949","9.484945","0.611932"
"2020-08-19 19:36:34.383","0.305966","9.484945","0.611932"
"2020-08-19 19:36:34.385","0.458949","9.790912","0.611932"
"2020-08-19 19:36:34.387","0.611932","9.484945","0.611932"
"2020-08-19 19:36:34.389","0.611932","9.637929","0.611932"
"2020-08-19 19:36:34.391","0.611932","9.637929","0.458949"
"2020-08-19 19:36:34.393","0.458949","9.637929","0.305966"
"2020-08-19 19:36:34.395","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.397","0.458949","9.637929","0.458949"
"2020-08-19 19:36:34.399","0.305966","9.637929","0.458949"
"2020-08-19 19:36:34.401","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.404","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.405","0.458949","9.637929","0.458949"
"2020-08-19 19:36:34.407","0.458949","9.484945","0.611932"
"2020-08-19 19:36:34.409","0.458949","9.484945","0.458949"
"2020-08-19 19:36:34.411","0.611932","9.637929","0.611932"
"2020-08-19 19:36:34.413","0.458949","9.637929","0.458949"
"2020-08-19 19:36:34.415","0.458949","9.484945","0.458949"
"2020-08-19 19:36:34.417","0.305966","9.637929","0.611932"
"2020-08-19 19:36:34.419","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.421","0.458949","9.637929","0.458949"
"2020-08-19 19:36:34.423","0.458949","9.637929","0.458949"
"2020-08-19 19:36:34.425","0.458949","9.484945","0.611932"
"2020-08-19 19:36:34.427","0.458949","9.637929","0.458949"
"2020-08-19 19:36:34.429","0.458949","9.484945","0.764915"
"2020-08-19 19:36:34.431","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.433","0.305966","9.637929","0.611932"
"2020-08-19 19:36:34.435","0.458949","9.637929","0.458949"
"2020-08-19 19:36:34.437","0.458949","9.637929","0.458949"
"2020-08-19 19:36:34.439","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.441","0.458949","9.484945","0.458949"
"2020-08-19 19:36:34.443","0.458949","9.484945","0.764915"
"2020-08-19 19:36:34.445","0.458949","9.637929","0.458949"
"2020-08-19 19:36:34.447","0.458949","9.484945","0.458949"
"2020-08-19 19:36:34.449","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.451","0.458949","9.637929","0.458949"
"2020-08-19 19:36:34.453","0.458949","9.637929","0.458949"
"2020-08-19 19:36:34.455","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.457","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.459","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.461","0.458949","9.484945","0.458949"
"2020-08-19 19:36:34.463","0.458949","9.484945","0.764915"
"2020-08-19 19:36:34.465","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.467","0.611932","9.637929","0.611932"
"2020-08-19 19:36:34.469","0.458949","9.484945","0.458949"
"2020-08-19 19:36:34.471","0.458949","9.484945","0.764915"
"2020-08-19 19:36:34.473","0.611932","9.637929","0.458949"
"2020-08-19 19:36:34.475","0.458949","9.484945","0.458949"
"2020-08-19 19:36:34.477","0.458949","9.637929","0.611932"
"2020-08-19 19:36:34.479","0.458949","9.484945","0.458949"
"2020-08-19 19:36:34.481","0.458949","9.484945","0.458949"
"2020-08-19 19:36:34.485","0.458949","9.484945","0.764915"
"2020-08-19 19:36:34.487","0.611932","9.637929","0.611932"
"2020-08-19 19:36:34.489","0.305966","9.790912","0.458949"
"2020-08-19 19:36:34.491","0.611932","9.637929","0.611932"
