"T","X","Y","Z"
"2020-08-19 19:36:54.319","0.458949","9.637929","0.764915"
"2020-08-19 19:36:54.321","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.323","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.325","0.611932","9.637929","0.458949"
"2020-08-19 19:36:54.327","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.329","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.331","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.333","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.335","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.337","0.611932","9.637929","0.458949"
"2020-08-19 19:36:54.339","0.458949","9.790912","0.611932"
"2020-08-19 19:36:54.341","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.343","0.764915","9.637929","0.458949"
"2020-08-19 19:36:54.345","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.347","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.349","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.351","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.353","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.355","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.357","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.359","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.361","0.305966","9.484945","0.458949"
"2020-08-19 19:36:54.363","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.365","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.367","0.458949","9.484945","0.305966"
"2020-08-19 19:36:54.369","0.458949","9.637929","0.764915"
"2020-08-19 19:36:54.371","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.373","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.375","0.611932","9.637929","0.611932"
"2020-08-19 19:36:54.377","0.305966","9.637929","0.611932"
"2020-08-19 19:36:54.379","0.305966","9.637929","0.458949"
"2020-08-19 19:36:54.381","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.383","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.385","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.387","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.389","0.458949","9.484945","0.764915"
"2020-08-19 19:36:54.391","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.393","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.395","0.458949","9.790912","0.764915"
"2020-08-19 19:36:54.397","0.458949","9.637929","0.305966"
"2020-08-19 19:36:54.399","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.401","0.611932","9.637929","0.458949"
"2020-08-19 19:36:54.403","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.405","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.407","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.409","0.305966","9.637929","0.611932"
"2020-08-19 19:36:54.411","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.413","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.415","0.458949","9.637929","0.764915"
"2020-08-19 19:36:54.417","0.611932","9.484945","0.764915"
"2020-08-19 19:36:54.419","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.421","0.611932","9.637929","0.611932"
"2020-08-19 19:36:54.423","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.425","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.427","0.611932","9.484945","0.764915"
"2020-08-19 19:36:54.429","0.305966","9.637929","0.611932"
"2020-08-19 19:36:54.431","0.611932","9.637929","0.764915"
"2020-08-19 19:36:54.433","0.305966","9.637929","0.611932"
"2020-08-19 19:36:54.435","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.437","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.439","0.458949","9.637929","0.764915"
"2020-08-19 19:36:54.441","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.443","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.445","0.305966","9.637929","0.764915"
"2020-08-19 19:36:54.447","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.449","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.451","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.453","0.305966","9.484945","0.611932"
"2020-08-19 19:36:54.455","0.305966","9.484945","0.611932"
"2020-08-19 19:36:54.457","0.458949","9.484945","0.764915"
"2020-08-19 19:36:54.459","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.461","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.463","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.465","0.458949","9.637929","0.764915"
"2020-08-19 19:36:54.467","0.305966","9.484945","0.611932"
"2020-08-19 19:36:54.469","0.305966","9.637929","0.458949"
"2020-08-19 19:36:54.471","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.473","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.475","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.477","0.458949","9.637929","0.764915"
"2020-08-19 19:36:54.479","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.481","0.305966","9.637929","0.611932"
"2020-08-19 19:36:54.483","0.458949","9.790912","0.611932"
"2020-08-19 19:36:54.485","0.305966","9.484945","0.458949"
"2020-08-19 19:36:54.487","0.305966","9.637929","0.611932"
"2020-08-19 19:36:54.489","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.491","0.458949","9.484945","0.764915"
"2020-08-19 19:36:54.493","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.495","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.501","0.611932","9.484945","0.611932"
"2020-08-19 19:36:54.503","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.505","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.507","0.611932","9.484945","0.611932"
"2020-08-19 19:36:54.509","0.611932","9.484945","0.458949"
"2020-08-19 19:36:54.511","0.305966","9.637929","0.458949"
"2020-08-19 19:36:54.513","0.458949","9.790912","0.611932"
"2020-08-19 19:36:54.515","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.517","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.519","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.521","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.523","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.525","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.527","0.611932","9.484945","0.611932"
"2020-08-19 19:36:54.529","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.531","0.305966","9.484945","0.611932"
"2020-08-19 19:36:54.533","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.535","0.305966","9.637929","0.611932"
"2020-08-19 19:36:54.537","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.539","0.458949","9.637929","0.764915"
"2020-08-19 19:36:54.541","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.543","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.545","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.547","0.611932","9.637929","0.611932"
"2020-08-19 19:36:54.549","0.305966","9.484945","0.611932"
"2020-08-19 19:36:54.551","0.305966","9.637929","0.458949"
"2020-08-19 19:36:54.553","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.555","0.458949","9.637929","0.764915"
"2020-08-19 19:36:54.557","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.559","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.561","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.563","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.565","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.567","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.569","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.571","0.611932","9.637929","0.611932"
"2020-08-19 19:36:54.573","0.305966","9.637929","0.611932"
"2020-08-19 19:36:54.575","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.577","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.579","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.581","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.583","0.611932","9.637929","0.611932"
"2020-08-19 19:36:54.585","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.587","0.611932","9.790912","0.611932"
"2020-08-19 19:36:54.589","0.458949","9.637929","0.764915"
"2020-08-19 19:36:54.591","0.458949","9.790912","0.764915"
"2020-08-19 19:36:54.593","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.595","0.458949","9.637929","0.764915"
"2020-08-19 19:36:54.597","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.599","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.601","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.603","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.605","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.607","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.609","0.611932","9.484945","0.611932"
"2020-08-19 19:36:54.611","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.613","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.615","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.617","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.619","0.458949","9.637929","0.764915"
"2020-08-19 19:36:54.621","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.623","0.305966","9.637929","0.458949"
"2020-08-19 19:36:54.625","0.305966","9.637929","0.458949"
"2020-08-19 19:36:54.627","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.629","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.631","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.633","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.635","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.637","0.458949","9.484945","0.764915"
"2020-08-19 19:36:54.639","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.641","0.458949","9.637929","0.764915"
"2020-08-19 19:36:54.643","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.645","0.611932","9.637929","0.611932"
"2020-08-19 19:36:54.647","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.649","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.651","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.653","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.655","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.657","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.659","0.611932","9.637929","0.458949"
"2020-08-19 19:36:54.661","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.663","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.665","0.305966","9.484945","0.458949"
"2020-08-19 19:36:54.667","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.669","0.305966","9.637929","0.611932"
"2020-08-19 19:36:54.671","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.673","0.611932","9.637929","0.764915"
"2020-08-19 19:36:54.675","0.611932","9.484945","0.611932"
"2020-08-19 19:36:54.677","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.679","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.681","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.683","0.611932","9.484945","0.764915"
"2020-08-19 19:36:54.685","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.687","0.458949","9.637929","0.764915"
"2020-08-19 19:36:54.689","0.305966","9.637929","0.458949"
"2020-08-19 19:36:54.691","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.693","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.695","0.611932","9.637929","0.305966"
"2020-08-19 19:36:54.697","0.305966","9.484945","0.611932"
"2020-08-19 19:36:54.699","0.305966","9.637929","0.611932"
"2020-08-19 19:36:54.701","0.305966","9.637929","0.458949"
"2020-08-19 19:36:54.703","0.305966","9.637929","0.611932"
"2020-08-19 19:36:54.705","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.707","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.709","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.711","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.713","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.715","0.305966","9.637929","0.458949"
"2020-08-19 19:36:54.717","0.305966","9.637929","0.764915"
"2020-08-19 19:36:54.719","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.721","0.611932","9.637929","0.764915"
"2020-08-19 19:36:54.723","0.305966","9.637929","0.305966"
"2020-08-19 19:36:54.725","0.305966","9.484945","0.611932"
"2020-08-19 19:36:54.727","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.729","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.731","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.733","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.735","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.737","0.305966","9.484945","0.764915"
"2020-08-19 19:36:54.739","0.305966","9.484945","0.764915"
"2020-08-19 19:36:54.741","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.743","0.305966","9.637929","0.458949"
"2020-08-19 19:36:54.745","0.611932","9.637929","0.611932"
"2020-08-19 19:36:54.747","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.749","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.751","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.753","0.305966","9.484945","0.764915"
"2020-08-19 19:36:54.755","0.305966","9.484945","0.611932"
"2020-08-19 19:36:54.757","0.611932","9.484945","0.611932"
"2020-08-19 19:36:54.759","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.761","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.763","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.765","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.767","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.769","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.771","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.774","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.775","0.458949","9.637929","0.764915"
"2020-08-19 19:36:54.777","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.779","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.782","0.458949","9.331963","0.611932"
"2020-08-19 19:36:54.784","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.785","0.305966","9.637929","0.458949"
"2020-08-19 19:36:54.787","0.458949","9.484945","0.764915"
"2020-08-19 19:36:54.789","0.458949","9.484945","0.764915"
"2020-08-19 19:36:54.791","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.794","0.305966","9.637929","0.611932"
"2020-08-19 19:36:54.795","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.797","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.799","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.801","0.458949","9.637929","0.764915"
"2020-08-19 19:36:54.803","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.805","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.807","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.809","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.811","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.813","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.815","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.817","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.819","0.611932","9.484945","0.458949"
"2020-08-19 19:36:54.821","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.823","0.611932","9.484945","0.611932"
"2020-08-19 19:36:54.825","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.827","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.829","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.831","0.458949","9.637929","0.764915"
"2020-08-19 19:36:54.833","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.835","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.837","0.458949","9.637929","0.764915"
"2020-08-19 19:36:54.839","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.841","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.843","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.845","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.848","0.611932","9.484945","0.611932"
"2020-08-19 19:36:54.849","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.851","0.458949","9.637929","0.764915"
"2020-08-19 19:36:54.853","0.611932","9.637929","0.458949"
"2020-08-19 19:36:54.855","0.305966","9.637929","0.458949"
"2020-08-19 19:36:54.857","0.305966","9.484945","0.611932"
"2020-08-19 19:36:54.859","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.862","0.458949","9.484945","0.764915"
"2020-08-19 19:36:54.864","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.867","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.869","0.458949","9.637929","0.764915"
"2020-08-19 19:36:54.871","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.873","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.875","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.877","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.879","0.611932","9.790912","0.458949"
"2020-08-19 19:36:54.881","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.884","0.611932","9.637929","0.458949"
"2020-08-19 19:36:54.885","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.887","0.305966","9.637929","0.611932"
"2020-08-19 19:36:54.889","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.891","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.893","0.458949","9.484945","0.764915"
"2020-08-19 19:36:54.895","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.897","0.305966","9.484945","0.611932"
"2020-08-19 19:36:54.899","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.901","0.458949","9.637929","0.764915"
"2020-08-19 19:36:54.904","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.905","0.458949","9.637929","0.764915"
"2020-08-19 19:36:54.907","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.909","0.611932","9.637929","0.611932"
"2020-08-19 19:36:54.911","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.913","0.305966","9.484945","0.764915"
"2020-08-19 19:36:54.915","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.917","0.611932","9.484945","0.611932"
"2020-08-19 19:36:54.919","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.921","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.923","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.925","0.458949","9.637929","0.764915"
"2020-08-19 19:36:54.927","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.929","0.611932","9.637929","0.458949"
"2020-08-19 19:36:54.931","0.305966","9.637929","0.305966"
"2020-08-19 19:36:54.933","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.935","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.937","0.458949","9.790912","0.458949"
"2020-08-19 19:36:54.939","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.941","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.943","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.945","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.947","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.949","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.951","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.954","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.956","0.611932","9.637929","0.764915"
"2020-08-19 19:36:54.957","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.959","0.458949","9.484945","0.611932"
"2020-08-19 19:36:54.961","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.963","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.965","0.305966","9.637929","0.305966"
"2020-08-19 19:36:54.967","0.305966","9.484945","0.611932"
"2020-08-19 19:36:54.969","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.971","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.974","0.458949","9.637929","0.764915"
"2020-08-19 19:36:54.975","0.458949","9.790912","0.611932"
"2020-08-19 19:36:54.977","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.979","0.458949","9.484945","0.458949"
"2020-08-19 19:36:54.981","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.983","0.305966","9.637929","0.611932"
"2020-08-19 19:36:54.985","0.458949","9.637929","0.458949"
"2020-08-19 19:36:54.987","0.611932","9.637929","0.458949"
"2020-08-19 19:36:54.989","0.305966","9.637929","0.764915"
"2020-08-19 19:36:54.991","0.305966","9.637929","0.611932"
"2020-08-19 19:36:54.993","0.305966","9.637929","0.458949"
"2020-08-19 19:36:54.995","0.458949","9.637929","0.611932"
"2020-08-19 19:36:54.997","0.458949","9.484945","0.764915"
"2020-08-19 19:36:54.999","0.305966","9.484945","0.458949"
"2020-08-19 19:36:55.001","0.458949","9.790912","0.458949"
"2020-08-19 19:36:55.003","0.305966","9.484945","0.611932"
"2020-08-19 19:36:55.006","0.305966","9.484945","0.764915"
"2020-08-19 19:36:55.007","0.611932","9.484945","0.764915"
"2020-08-19 19:36:55.009","0.458949","9.637929","0.611932"
"2020-08-19 19:36:55.011","0.458949","9.484945","0.611932"
"2020-08-19 19:36:55.014","0.458949","9.637929","0.611932"
"2020-08-19 19:36:55.015","0.458949","9.484945","0.305966"
"2020-08-19 19:36:55.017","0.305966","9.484945","0.611932"
"2020-08-19 19:36:55.019","0.305966","9.637929","0.458949"
"2020-08-19 19:36:55.021","0.611932","9.637929","0.611932"
"2020-08-19 19:36:55.024","0.458949","9.637929","0.611932"
"2020-08-19 19:36:55.026","0.458949","9.637929","0.458949"
"2020-08-19 19:36:55.027","0.458949","9.637929","0.611932"
"2020-08-19 19:36:55.029","0.611932","9.637929","0.458949"
"2020-08-19 19:36:55.031","0.458949","9.484945","0.611932"
"2020-08-19 19:36:55.034","0.305966","9.484945","0.611932"
"2020-08-19 19:36:55.035","0.458949","9.637929","0.611932"
"2020-08-19 19:36:55.037","0.305966","9.637929","0.458949"
"2020-08-19 19:36:55.039","0.458949","9.637929","0.611932"
"2020-08-19 19:36:55.041","0.305966","9.484945","0.611932"
"2020-08-19 19:36:55.043","0.458949","9.637929","0.611932"
"2020-08-19 19:36:55.046","0.458949","9.484945","0.611932"
"2020-08-19 19:36:55.047","0.458949","9.637929","0.458949"
"2020-08-19 19:36:55.049","0.458949","9.637929","0.611932"
"2020-08-19 19:36:55.051","0.305966","9.637929","0.611932"
"2020-08-19 19:36:55.054","0.458949","9.637929","0.611932"
"2020-08-19 19:36:55.055","0.458949","9.637929","0.611932"
"2020-08-19 19:36:55.057","0.458949","9.637929","0.764915"
"2020-08-19 19:36:55.059","0.458949","9.484945","0.458949"
"2020-08-19 19:36:55.061","0.458949","9.637929","0.458949"
"2020-08-19 19:36:55.064","0.458949","9.637929","0.611932"
"2020-08-19 19:36:55.065","0.458949","9.637929","0.764915"
"2020-08-19 19:36:55.067","0.458949","9.637929","0.458949"
"2020-08-19 19:36:55.069","0.458949","9.637929","0.458949"
"2020-08-19 19:36:55.071","0.458949","9.484945","0.611932"
"2020-08-19 19:36:55.073","0.458949","9.637929","0.458949"
"2020-08-19 19:36:55.075","0.458949","9.637929","0.458949"
"2020-08-19 19:36:55.077","0.458949","9.637929","0.458949"
"2020-08-19 19:36:55.079","0.458949","9.637929","0.611932"
"2020-08-19 19:36:55.081","0.458949","9.637929","0.764915"
"2020-08-19 19:36:55.083","0.458949","9.637929","0.458949"
"2020-08-19 19:36:55.086","0.458949","9.637929","0.458949"
"2020-08-19 19:36:55.087","0.305966","9.637929","0.611932"
"2020-08-19 19:36:55.089","0.458949","9.637929","0.611932"
"2020-08-19 19:36:55.091","0.305966","9.637929","0.611932"
"2020-08-19 19:36:55.093","0.611932","9.484945","0.764915"
